tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
129-52203,IPSWICH ST,WESTBOUND,BOYLSTON ST (WEST),MA,SUFFOLK,02215,42.34608,-71.09571,42.3454,-71.09542,0.049619,3.0,America/New_York,P1.11,USA,52202,5,N,3,9271,2,,4,,1,1,,28745,1122,316,1,24,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,14373,561,158
129-07636,MA-117,WESTBOUND,WORCESTER--MIDDLESEX COUNTY BORDER,MA,MIDDLESEX,01775,42.43462,-71.52922,42.44099,-71.55057,1.276926,20.0,America/New_York,P3.14,USA,535,3,N,3,9271,2,,2,117,4,1,117,8893,490,98,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4447,245,49
129-07635,MA-117,WESTBOUND,I-495,MA,WORCESTER,01740,42.44099,-71.55057,42.43043,-71.58984,2.310633,21.0,America/New_York,P1.11,USA,535,3,N,3,99999,2,,2,117,4,1,117,9413,710,108,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4707,355,54
129-07634,MA-117,WESTBOUND,HARVARD RD/MANOR RD,MA,WORCESTER,01740,42.43121,-71.59569,42.43619,-71.6141,1.050635,23.0,America/New_York,P1.11,USA,535,3,N,4,99999,2,,2,117,4,1,117,11228,704,126,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5614,352,63
129-07633,MA-117,WESTBOUND,MA-110/STILL RIVER RD,MA,WORCESTER,01740,42.43619,-71.6141,42.4548,-71.64335,2.02157,24.0,America/New_York,P1.11,USA,535,3,N,4,99999,2,,2,117,4,1,117,12721,681,140,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6361,341,70
129-07632,MA-117,WESTBOUND,MA-70/MAIN ST,MA,WORCESTER,01523,42.4548,-71.64335,42.46855,-71.67367,1.832331,25.0,America/New_York,P1.11,USA,535,3,N,3,97291,2,1,2,117,4,1,117,13579,622,147,1,65,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6790,311,74
129-52205,IPSWICH ST,WESTBOUND,LANSDOWNE ST,MA,SUFFOLK,02215,42.34744,-71.0897,42.34717,-71.09435,0.248022,1.0,America/New_York,P1.11,USA,52202,5,N,3,9271,6,1,4,,1,1,,18595,520,168,1,12,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9298,260,84
129N05319,MA-109,SOUTHBOUND,POND ST,MA,NORFOLK,02090,42.20734,-71.23792,42.20708,-71.2383,0.02647,13.0,America/New_York,P1.11,USA,401,3,N,3,9271,2,,2,109,4,1,109,12302,565,135,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6151,283,68
129N05324,MA-109,SOUTHBOUND,PINE ST/AMES ST,MA,NORFOLK,02026,42.25888,-71.17854,42.25845,-71.17873,0.031252,5.0,America/New_York,P1.11,USA,401,3,N,3,9271,2,,2,109,4,1,109,11415,309,69,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5708,155,35
129P10371,HIGH ST,WESTBOUND,BUSSEY ST/MILTON ST,MA,NORFOLK,02026,42.24768,-71.15437,42.24763,-71.15463,0.013737,1.5,America/New_York,P1.11,USA,1009,4,N,3,9271,2,,2,,1,1,,8720,401,96,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4360,201,48
129N05322,MA-109,SOUTHBOUND,I-95,MA,NORFOLK,02026,42.24536,-71.19917,42.24229,-71.20795,0.497721,8.0,America/New_York,P1.11,USA,401,3,N,3,9271,6,1,4,109,4,1,109,14385,658,156,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7193,329,78
129P10370,HIGH ST,NORTHBOUND,MA-9/WASHINGTON ST/BOYLSTON ST,MA,NORFOLK,02445,42.33118,-71.11777,42.33184,-71.1176,0.046424,3.0,America/New_York,P1.11,USA,1008,4,N,3,9271,6,,4,9,4,1,,112255,2918,3704,1,39,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,56128,1459,1852
129N05323,MA-109,SOUTHBOUND,COMMON ST,MA,NORFOLK,02026,42.25204,-71.18431,42.25151,-71.18583,0.085914,6.5,America/New_York,P1.11,USA,401,3,N,3,9271,2,,2,109,4,1,109,10675,336,78,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5338,168,39
129N05320,MA-109,SOUTHBOUND,NAHATAN ST,MA,NORFOLK,02090,42.21895,-71.22339,42.21832,-71.2236,0.044995,11.0,America/New_York,P1.11,USA,401,3,N,3,9271,6,,2,109,4,1,109,12627,581,138,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6314,291,69
129-08974,MA-16,SOUTHBOUND,MA-126/CONCORD ST,MA,MIDDLESEX,01746,42.22141,-71.40054,42.21145,-71.42529,1.450658,54.0,America/New_York,P1.11,USA,529,4,N,3,9271,2,,2,16,4,1,16,17678,567,89,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8839,284,45
129-08975,MA-16,SOUTHBOUND,WESTERN AVE,MA,MIDDLESEX,01770,42.24276,-71.37034,42.22141,-71.40054,2.199609,53.0,America/New_York,P1.11,USA,529,4,N,3,9271,2,,2,16,4,1,16,18988,782,144,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,9494,391,72
129P10373,HIGH ST,WESTBOUND,RT-109/BRIDGE ST,MA,NORFOLK,02026,42.25111,-71.18339,42.25204,-71.18431,0.079626,1.5,America/New_York,P1.11,USA,1009,4,N,3,9271,2,,2,,1,1,,10301,213,102,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5151,107,51
129-08977,MA-16,SOUTHBOUND,MA-27/N MAIN ST,MA,MIDDLESEX,01770,42.25792,-71.33639,42.24823,-71.36889,1.835284,51.0,America/New_York,P1.11,USA,529,4,N,3,9271,6,,2,16,4,1,16,20774,956,227,1,1,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,10387,478,114
129-08978,MA-16,SOUTHBOUND,EVERETT ST,MA,MIDDLESEX,01760,42.27282,-71.3161,42.25792,-71.33639,1.545647,50.0,America/New_York,P1.11,USA,529,4,N,3,9271,2,,2,16,4,1,16,18726,861,206,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,9363,431,103
129-08979,MA-16,SOUTHBOUND,PLEASANT ST/UNION ST,MA,NORFOLK,02482,42.27979,-71.3084,42.2735,-71.31551,0.574894,48.0,America/New_York,P1.11,USA,529,4,N,3,9271,2,1,2,16,4,1,16,18742,862,209,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,9371,431,105
129-08959,MA-62,WESTBOUND,CONANT ST,MA,ESSEX,01923,42.56582,-70.92377,42.56793,-70.92727,0.230186,7.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,,2,62,4,1,62,9240,148,26,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4620,74,13
129-06317,MA-27,SOUTHBOUND,NORWOOD ST/EDGE HILL RD,MA,NORFOLK,02067,42.14045,-71.20978,42.14448,-71.19923,0.642021,49.0,America/New_York,P1.11,USA,418,4,N,3,9271,2,,2,27,4,1,27,7982,367,88,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,3991,184,44
129N51203,LOUIS PRANG ST,SOUTHBOUND,FENWAY,MA,SUFFOLK,02115,42.33866,-71.09776,42.33844,-71.09731,0.027695,1.5,America/New_York,P1.11,USA,51201,4,N,3,9271,1,,2,,1,1,,14701,412,133,1,69,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,14701,412,133
129N05318,MA-109,SOUTHBOUND,NORTH ST,MA,NORFOLK,02090,42.20149,-71.24901,42.20165,-71.24941,0.023263,15.0,America/New_York,P1.11,USA,401,3,N,3,9271,2,,2,109,4,1,109,12517,575,137,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6259,288,69
129N05315,MA-109,SOUTHBOUND,MA-27/N MEADOWS RD,MA,NORFOLK,02052,42.18568,-71.30845,42.18549,-71.3093,0.045453,20.0,America/New_York,P1.11,USA,401,3,N,3,9271,2,,2,109,4,1,109,14258,577,154,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,7129,289,77
129N05316,MA-109,SOUTHBOUND,HARTFORD ST,MA,NORFOLK,02052,42.198,-71.28097,42.19767,-71.28155,0.037426,18.0,America/New_York,P1.11,USA,401,3,N,3,9271,2,,2,109,4,1,109,13063,600,143,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6532,300,72
129-08960,MA-62,WESTBOUND,MA-128,MA,ESSEX,01923,42.55811,-70.90956,42.56482,-70.92215,0.798935,5.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,,2,62,4,1,62,9240,148,26,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4620,74,13
129-08961,MA-62,WESTBOUND,BRIDGE ST/RIVERVIEW AVE,MA,ESSEX,01915,42.55452,-70.88163,42.55789,-70.90928,1.50003,3.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,,2,62,4,1,62,9240,148,26,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4620,74,13
129-08963,MA-62,WESTBOUND,MA-22/CABOT ST,MA,ESSEX,01915,42.55004,-70.86932,42.55193,-70.87875,0.525115,1.0,America/New_York,P1.11,USA,749,4,N,3,9271,6,,2,22,4,1,22,3972,226,32,1,3,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,1986,113,16
129P14722,44A,US-1/BROADWAY SB AND US-129 WB,,MA,ESSEX,01940,42.51631,-71.00474,42.51519,-71.00281,0.151681,1.0,America/New_York,P4.0,USA,14721,2,N,1,9271,2,,6,95,2,1,95,114540,2375,2258,1,78,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,57270,1188,1129
129P10363,RT-37,NORTHBOUND,WASHINGTON ST,MA,NORFOLK,02184,42.18985,-71.00712,42.19007,-71.00706,0.015505,1.5,America/New_York,P1.11,USA,630,3,N,3,9271,2,1,2,37,4,1,37,18752,861,204,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,9376,431,102
129-08965,FRANKLIN ST,EASTBOUND,MAIN ST,MA,MIDDLESEX,02176,42.47115,-71.08096,42.46701,-71.06187,1.028012,2.0,America/New_York,P1.11,USA,750,3,N,3,9271,2,,2,,1,1,,10637,411,111,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5319,206,56
129P10362,HANCOCK ST,NORTHBOUND,RT-225/RT-4/BEDFORD ST (NORTH),MA,MIDDLESEX,02420,42.46385,-71.24049,42.46385,-71.2408,0.015798,2.5,America/New_York,P1.11,USA,1005,5,N,3,9271,1,,2,4,4,1,4,5188,296,41,1,40,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,5188,296,41
129-08966,FRANKLIN ST,EASTBOUND,PERKINS ST,MA,MIDDLESEX,02180,42.47889,-71.09983,42.47115,-71.08096,1.140387,1.0,America/New_York,P1.11,USA,750,3,N,3,9271,2,,2,,1,1,,6274,242,68,1,71,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,3137,121,34
129-08968,WASHINGTON ST,WESTBOUND,MA-16/WATERTOWN ST,MA,MIDDLESEX,02465,42.35163,-71.2073,42.34939,-71.22575,0.966915,7.0,America/New_York,P1.11,USA,751,4,N,1,9271,6,,6,90,2,1,90,86663,2734,2064,1,2,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,43332,1367,1032
129-08948,MA-62,WESTBOUND,MA-28/MAIN ST,MA,MIDDLESEX,01864,42.57251,-71.10048,42.58051,-71.11221,0.870033,21.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,1,4,28,4,1,28,12643,580,138,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,6322,290,69
129+08497,JF KENNEDY ST/JOHN F KENNEDY ST,NORTHBOUND,ELIOT SQ/ELIOT ST,MA,MIDDLESEX,02138,42.37013,-71.12217,42.37142,-71.12111,0.104256,1.0,America/New_York,P1.11,USA,672,3,N,3,9271,2,,2,,1,1,,16939,779,187,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8470,390,94
129+08495,LARZ ANDERSON BRG,NORTHBOUND,MA-2/MEMORIAL DR,MA,MIDDLESEX,02138,42.36922,-71.12295,42.36962,-71.1226,0.03291,1.0,America/New_York,P1.11,USA,671,3,N,3,9271,2,1,2,,1,1,,16939,779,187,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8470,390,94
129+08493,N HARVARD ST,NORTHBOUND,LARZ ANDERSON BRIDGE,MA,SUFFOLK,02163,42.36866,-71.12343,42.36878,-71.12333,0.009735,6.0,America/New_York,P3.2,USA,670,3,N,3,9271,2,1,2,,1,1,,16939,778,216,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8470,389,108
129P08067,MA-3A,NORTHBOUND,OLD OAKEN BUCKET RD/DRIFTWAY,MA,PLYMOUTH,02066,42.17679,-70.75043,42.1775,-70.75141,0.09217,30.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,2,3,4,1,3A,8100,479,97,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4050,240,49
129P08066,MA-3A,NORTHBOUND,SUMMER ST/SPRING ST,MA,PLYMOUTH,02050,42.15718,-70.74326,42.15773,-70.74299,0.040432,28.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,2,3,4,1,3A,10378,478,114,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5189,239,57
129P08068,MA-3A,NORTHBOUND,FIRST PARISH RD,MA,PLYMOUTH,02066,42.19645,-70.76859,42.19707,-70.76904,0.048686,32.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,2,3,4,1,3A,10209,468,111,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5105,234,56
129+08498,JF KENNEDY ST/JOHN F KENNEDY ST,NORTHBOUND,MA-2A/BRATTLE ST,MA,MIDDLESEX,02138,42.37142,-71.12111,42.37322,-71.11962,0.145767,2.0,America/New_York,P1.11,USA,672,3,N,3,9271,1,,2,,1,1,,16939,779,187,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,16939,779,187
129P14750,,RT-1A NB AND CLINTON ST,,MA,SUFFOLK,02109,42.36338,-71.05791,42.36098,-71.05389,0.267153,1.0,America/New_York,P4.0,USA,14749,4,N,1,9271,6,2,8,93,2,1,93,102059,3061,4084,1,7,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,51030,1531,2042
129P08063,MA-3A,NORTHBOUND,MA-139/OCEAN ST,MA,PLYMOUTH,02050,42.09157,-70.71037,42.09209,-70.71068,0.044853,23.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,2,3,4,1,3A,,578,138,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,,289,69
129P10393,LAGRANGE ST,NORTHBOUND,NEWTON ST/HAMMOND POND PKY,MA,NORFOLK,02467,42.31017,-71.16325,42.31074,-71.1635,0.075236,5.5,America/New_York,P1.11,USA,1016,3,N,3,9271,2,,2,,1,1,,7950,261,62,1,38,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,3975,131,31
129P08065,MA-3A,NORTHBOUND,PINE ST,MA,PLYMOUTH,02050,42.13138,-70.74027,42.13193,-70.74027,0.038008,26.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,2,3,4,1,3A,11119,510,122,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5560,255,61
129P10391,LAGRANGE ST,NORTHBOUND,VFW PKWY,MA,SUFFOLK,02132,42.29051,-71.16808,42.29063,-71.16821,0.010623,3.0,America/New_York,P1.11,USA,1016,4,N,3,9271,6,,4,,1,1,,35381,1628,390,1,32,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,17691,814,195
129P14756,,I-93 NB AND NEW CHARDON ST AND COOPER ST,,MA,SUFFOLK,02109,42.36261,-71.05504,42.36242,-71.05618,0.068194,1.0,America/New_York,P4.0,USA,14755,3,N,2,9271,6,2,8,93,4,1,,104586,3137,4184,1,66,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,52293,1569,2092
129-08952,MA-62,WESTBOUND,MA-114/S MAIN ST (MIDDLETON) (WEST),MA,ESSEX,01949,42.59493,-71.0156,42.59292,-71.0147,0.146426,17.0,America/New_York,P1.11,USA,749,3,N,3,9271,2,,4,62,4,1,62,9240,148,26,1,98,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,4620,74,13
129-08953,MA-62,WESTBOUND,MA-114/S MAIN ST (MIDDLETON) (EAST),MA,ESSEX,01949,42.59615,-70.99239,42.59493,-71.0156,1.203125,16.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,,4,114,4,1,114,30803,1417,338,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,15402,709,169
129P14758,,I-93 NB,,MA,SUFFOLK,02114,42.36242,-71.05618,42.3638,-71.05841,0.155015,1.0,America/New_York,P4.0,USA,14757,4,N,3,9271,6,2,4,93,1,1,,50321,1543,1641,1,23,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,25161,772,821
129-07609,MA-16,SOUTHBOUND,WORCESTER--MIDDLESEX COUNTY BORDER,MA,MIDDLESEX,01746,42.18283,-71.44495,42.16583,-71.48007,2.230402,58.0,America/New_York,P3.14,USA,529,3,N,3,9271,2,1,2,16,4,1,16,15193,691,158,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,7597,346,79
129-08955,MA-62,WESTBOUND,US-1/NEWBURY ST,MA,ESSEX,01923,42.58272,-70.96501,42.58296,-70.96541,0.026245,13.0,America/New_York,P1.11,USA,749,4,N,3,9271,6,,4,62,4,1,62,9877,157,27,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,4939,79,14
129P13421,,I-93 NORTHBOUND,,MA,SUFFOLK,02111,42.3496,-71.05679,42.35117,-71.05613,0.113827,1.0,America/New_York,P4.0,USA,13420,2,N,1,9271,2,2,6,93,2,1,93,81856,2456,3274,1,4,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,40928,1228,1637
129P14752,24B-A,RT-1A NB,,MA,SUFFOLK,02109,42.36348,-71.05786,42.36197,-71.05628,0.135887,1.0,America/New_York,P4.0,USA,14751,3,N,1,9271,6,2,8,93,2,1,93,91476,2775,3590,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,45738,1388,1795
129-07608,MA-16,SOUTHBOUND,MA-109/MEDWAY ST,MA,WORCESTER,01757,42.16583,-71.48007,42.15055,-71.50371,1.773093,59.0,America/New_York,P1.11,USA,529,3,N,3,9271,2,,2,16,4,1,16,11010,500,125,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5505,250,63
129-08956,MA-62,WESTBOUND,I-95,MA,ESSEX,01923,42.57237,-70.9492,42.58149,-70.963,1.029703,11.0,America/New_York,P1.11,USA,749,4,N,3,9271,6,,4,62,4,1,62,18423,293,52,1,13,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9212,147,26
129-07607,MA-16,SOUTHBOUND,MA-85/CEDAR ST,MA,WORCESTER,01757,42.15033,-71.50426,42.14818,-71.50941,0.304283,61.0,America/New_York,P1.11,USA,529,3,N,3,9271,2,,2,16,4,1,16,17658,527,183,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8829,264,92
129-08957,MA-62,WESTBOUND,VINEYARD ST,MA,ESSEX,01923,42.57027,-70.93737,42.57237,-70.9492,0.646556,10.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,,2,62,4,1,62,9240,148,26,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4620,74,13
129P14754,24-A,CLINTON ST,,MA,SUFFOLK,02109,42.36197,-71.05628,42.36083,-71.05368,0.167736,1.0,America/New_York,P4.0,USA,14753,4,N,1,9271,6,2,8,93,2,1,93,103106,3092,4124,1,66,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,51553,1546,2062
129-07606,MA-16,SOUTHBOUND,PEARL ST,MA,WORCESTER,01757,42.14818,-71.50941,42.14287,-71.5168,0.587983,62.0,America/New_York,P1.11,USA,529,3,N,3,9271,2,,2,16,4,1,16,22713,581,233,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,11357,291,117
129-08958,MA-62,WESTBOUND,MA-35/LOCUST ST,MA,ESSEX,01923,42.56844,-70.9289,42.57027,-70.93737,0.449231,9.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,,2,62,4,1,62,9240,148,26,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4620,74,13
129P10399,LEXINGTON ST,NORTHBOUND,WOBURN ST,MA,MIDDLESEX,01801,42.4527,-71.19312,42.45279,-71.19293,0.011508,1.5,America/New_York,P1.11,USA,1019,4,N,3,9271,2,,2,,1,1,,10068,463,110,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5034,232,55
129+08485,LEO M BIRMINGHAM PKY,EASTBOUND,MARKET ST,MA,SUFFOLK,02135,42.35814,-71.15415,42.35887,-71.14748,0.348853,2.0,America/New_York,P1.11,USA,668,3,N,3,9271,2,,4,,1,1,,27562,,,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,13781,,
129+08481,GREENOUGH BLVD,NORTHBOUND,US-3/MA-2/GERRYS LANDING RD,MA,MIDDLESEX,02138,42.37182,-71.13461,42.37217,-71.1345,0.02483,4.0,America/New_York,P1.13,USA,666,3,N,3,9271,6,1,5,3,1,1,,33548,1542,366,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2.5,16774,771,183
129P08078,MA-3A,NORTHBOUND,CODDINGTON ST/SEA ST,MA,NORFOLK,02169,42.2551,-70.99645,42.25567,-70.99726,0.05736,50.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,4,3,4,1,3A,38342,1761,420,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,19171,881,210
129+08489,HARVARD ST,NORTHBOUND,CAMBRIDGE ST,MA,SUFFOLK,02134,42.353,-71.13209,42.35519,-71.13268,0.154313,4.0,America/New_York,P1.11,USA,669,4,N,3,9271,2,,2,,1,1,,21917,852,239,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,10959,426,120
129+08487,HARVARD ST,NORTHBOUND,BEACON ST,MA,NORFOLK,02446,42.3332,-71.11876,42.34202,-71.12121,0.657479,1.0,America/New_York,P1.11,USA,669,4,N,3,9271,2,,2,,1,1,,16974,662,187,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8487,331,94
129+08488,HARVARD ST,NORTHBOUND,US-20/BRIGHTON AVE,MA,NORFOLK,02446,42.34224,-71.12133,42.353,-71.13209,0.957431,3.0,America/New_York,P1.11,USA,669,4,N,3,9271,2,,2,,1,1,,16594,644,180,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,8297,322,90
129P08070,MA-3A,NORTHBOUND,HENRY TURNER BAILEY RD,MA,PLYMOUTH,02066,42.21629,-70.79373,42.21647,-70.79403,0.019753,35.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,2,3,4,1,3A,10564,486,116,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5282,243,58
129P08072,MA-3A,NORTHBOUND,MA-228/EAST ST,MA,PLYMOUTH,02043,42.24312,-70.85777,42.24314,-70.85838,0.031228,38.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,,2,3,4,1,3A,11299,519,124,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,5650,260,62
129P10383,BLUE HILL RIVER RD,EASTBOUND,RT-138/WASHINGTON ST,MA,NORFOLK,02021,42.20834,-71.11975,42.20831,-71.11937,0.019554,1.0,America/New_York,P1.11,USA,1013,4,N,3,9271,2,,2,138,4,1,138,26902,1236,295,1,37,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,13451,618,148
129P08073,MA-3A,NORTHBOUND,SUMMER ST,MA,PLYMOUTH,02043,42.24609,-70.88094,42.24625,-70.88162,0.053526,40.0,America/New_York,P1.11,USA,598,4,N,3,9271,2,1,2,3,4,1,3A,13710,629,149,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6855,315,75
129P08076,MA-3A,NORTHBOUND,GREEN ST/NECK ST,MA,NORFOLK,02191,42.24488,-70.93874,42.24443,-70.94008,0.075261,45.0,America/New_York,P1.11,USA,598,3,N,3,9271,2,,4,3,4,1,3A,26030,1196,285,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,13015,598,143
129P08075,MA-3A,NORTHBOUND,BEAL ST,MA,PLYMOUTH,02043,42.248,-70.92654,42.24789,-70.92722,0.035593,43.0,America/New_York,P1.11,USA,598,3,N,3,9271,6,1,4,3,4,1,3A,26767,1227,312,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,13384,614,156
129P10386,GALEN ST,NORTHBOUND,RT-16/WATERTOWN ST/NONANTUM RD,MA,MIDDLESEX,02472,42.36395,-71.186,42.36445,-71.18585,0.035393,1.0,America/New_York,P1.11,USA,1014,3,N,3,9271,2,,4,,1,1,,12915,425,104,1,98,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,6458,213,52
129-08942,MA-62,WESTBOUND,MA-3A/CAMBRIDGE ST,MA,MIDDLESEX,01803,42.54325,-71.18612,42.52417,-71.21982,3.016548,28.0,America/New_York,P1.11,USA,749,4,N,3,9271,2,,2,3,4,1,3A,12759,531,65,1,39,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6380,266,33
